Frequency,Channel A,Channel B
(kHz),(dBu),(dBu)

28.80096436,-83.70779000,-59.69940000
28.84864807,-79.01263000,-55.85759000
28.89633179,-81.56172000,-52.01881000
28.94401550,-83.86923000,-50.41719000
28.99169922,-78.08035000,-49.87023000
29.03938293,-83.80652000,-51.99519000
29.08706665,-81.56432000,-53.35471000
29.13475037,-78.97372000,-63.17356000
29.18243408,-83.79548000,-66.57830000
29.23011780,-82.08902000,-70.43423000
29.27780151,-78.71978000,-62.16491000
29.32548523,-84.33725000,-56.16412000
29.37316895,-80.89320000,-51.83855000
29.42085266,-78.51918000,-53.82861000
29.46853638,-86.75569000,-55.53450000
29.51622009,-79.93797000,-56.54725000
29.56390381,-79.72454000,-61.35975000
29.61158752,-85.05347000,-55.81984000
29.65927124,-80.50221000,-57.95340000
29.70695496,-79.05728000,-55.90651000
29.75463867,-87.39738000,-48.89236000
29.80232239,-79.03036000,-46.19564000
29.85000610,-79.89440000,-48.19399000
29.89768982,-85.79146000,-52.05493000
29.94537354,-79.20816000,-48.73534000
29.99305725,-80.76778000,-53.62394000
30.04074097,-85.23835000,-61.49823000
30.08842468,-79.21490000,-57.28905000
30.13610840,-80.28209000,-49.75504000
30.18379211,-85.75217000,-47.66582000
30.23147583,-78.21875000,-50.50146000
30.27915955,-82.19978000,-54.33009000
30.32684326,-83.08673000,-55.03998000
30.37452698,-79.05482000,-51.13645000
30.42221069,-82.10853000,-50.83799000
30.46989441,-83.81417000,-51.66334000
30.51757813,-78.46918000,-53.82140000
30.56526184,-82.71822000,-56.96487000
30.61294556,-82.16785000,-61.62513000
30.66062927,-78.32990000,-51.22148000
30.70831299,-84.93295000,-49.67005000
30.75599670,-81.18118000,-57.97357000
30.80368042,-79.25482000,-67.71094000
30.85136414,-83.88803000,-60.72044000
30.89904785,-81.61440000,-54.30140000
30.94673157,-78.44834000,-58.60107000
30.99441528,-86.38877000,-60.14065000
31.04209900,-79.81230000,-61.30031000
31.08978271,-79.27724000,-56.53515000
31.13746643,-85.99481000,-60.28527000
31.18515015,-80.05988000,-53.85643000
31.23283386,-79.74447000,-53.66776000
31.28051758,-85.79620000,-71.16985000
31.32820129,-79.70142000,-59.05948000
31.37588501,-79.32072000,-56.56905000
31.42356873,-87.33447000,-56.75555000
31.47125244,-78.64855000,-57.11460000
31.51893616,-80.95337000,-58.14357000
31.56661987,-84.55450000,-71.27969000
31.61430359,-79.41282000,-54.70918000
31.66198730,-80.66636000,-49.81714000
31.70967102,-85.71152000,-52.63960000
31.75735474,-78.50244000,-52.21069000
31.80503845,-81.30425000,-51.70678000
31.85272217,-83.74368000,-54.52015000
31.90040588,-78.42570000,-55.62386000
31.94808960,-83.05666000,-60.19215000
31.99577332,-82.72636000,-58.56968000
32.04345703,-79.06442000,-58.55836000
32.09114075,-82.32269000,-56.45281000
32.13882446,-83.08872000,-54.58634000
32.18650818,-78.13790000,-61.62083000
32.23419189,-84.58241000,-63.46954000
32.28187561,-80.91503000,-53.99858000
32.32955933,-78.95408000,-50.13137000
32.37724304,-84.80711000,-54.13952000
32.42492676,-81.25037000,-79.46887000
32.47261047,-79.04622000,-55.06750000
32.52029419,-84.94820000,-50.60772000
32.56797791,-80.49248000,-51.24094000
32.61566162,-78.67490000,-61.78252000
32.66334534,-87.45982000,-59.96917000
32.71102905,-79.38318000,-54.58612000
32.75871277,-80.05006000,-60.24420000
32.80639648,-85.24846000,-52.16970000
32.85408020,-80.06148000,-56.02739000
