Time,Channel A
(ms),(V)

201.37537361,0.19220560
201.43787760,0.19269390
201.50038160,0.20337530
201.56288560,0.21582690
201.62538960,0.22357860
201.68789359,0.22681360
201.75039759,0.23676260
201.81290159,0.24524670
201.87540559,0.25067900
201.93790958,0.25519580
202.00041358,0.26740320
202.06291758,0.27582630
202.12542158,0.27784050
202.18792557,0.29230630
202.25042957,0.29853210
202.31293357,0.30622270
202.37543757,0.30896940
202.43794156,0.32392350
202.50044556,0.33112580
202.56294956,0.33881650
202.62545356,0.34308910
202.68795755,0.35029150
202.75046155,0.35877560
202.81296555,0.36774810
202.87546955,0.37495040
202.93797354,0.37519450
203.00047754,0.38740200
203.06298154,0.39863280
203.12548554,0.40156250
203.18798953,0.40858180
203.25049353,0.41230510
203.31299753,0.41303750
203.37550153,0.41853090
203.43800552,0.43421740
203.50050952,0.44093140
203.56301352,0.44593650
203.62551752,0.45216220
203.68802151,0.45637380
203.75052551,0.46357620
203.81302951,0.47254860
203.87553351,0.47279270
203.93803750,0.47676010
204.00054150,0.48652610
204.06304550,0.48225350
204.12554949,0.50270090
204.18805349,0.49647510
204.25055749,0.50221260
204.31306149,0.51167330
204.37556548,0.51936400
204.43806948,0.52284310
204.50057348,0.52681050
204.56307748,0.53230390
204.62558147,0.53157140
204.68808547,0.53279220
204.75058947,0.53852960
204.81309347,0.55000460
204.87559746,0.55549790
204.93810146,0.55696280
205.00060546,0.56270030
205.06310946,0.56495860
205.12561345,0.56965850
205.18811745,0.56715600
205.25062145,0.57216100
205.31312545,0.58137760
205.37562944,0.58113350
205.43813344,0.58687090
205.50063744,0.58809170
205.56314144,0.59157080
205.62564543,0.58955660
205.68814943,0.59132670
205.75065343,0.59755240
205.81315743,0.60548720
205.87566142,0.60451070
205.93816542,0.60426650
206.00066942,0.59901730
206.06317342,0.60774560
206.12567741,0.60951570
206.18818141,0.61098060
206.25068541,0.61146890
206.31318941,0.62172310
206.37569340,0.61470380
206.43819740,0.61970880
206.50070140,0.62520220
206.56320540,0.61995300
206.62570939,0.62044130
206.68821339,0.61873230
206.75071739,0.62221140
206.81322139,0.62416460
206.87572538,0.62819300
206.93822938,0.62520220
207.00073338,0.62269970
207.06323738,0.62147890
207.12574137,0.61970880
207.18824537,0.62471390
207.25074937,0.62019720
207.31325337,0.62318800
207.37575736,0.61946470
207.43826136,0.61848810
207.50076536,0.61769460
207.56326936,0.61397140
207.62577335,0.61323890
207.68827735,0.61275060
207.75078135,0.61000390
207.81328535,0.61372720
207.87578934,0.60548720
207.93829334,0.61122470
208.00079734,0.60652490
208.06330134,0.60304580
208.12580533,0.59706410
208.18830933,0.59926150
208.25081333,0.59254740
208.31331733,0.59602650
208.37582132,0.59010590
208.43832532,0.58436840
208.50082932,0.58259830
208.56333332,0.57490770
208.62583731,0.57539600
208.68834131,0.57313760
208.75084531,0.56440930
208.81334931,0.56642350
208.87585330,0.55897700
208.93835730,0.55623040
209.00086130,0.54573200
209.06336529,0.53981140
209.12586929,0.54249700
209.18837329,0.54249700
209.25087729,0.52931300
209.31338128,0.52381970
209.37588528,0.52333140
209.43838928,0.51863160
209.50089328,0.50813320
209.56339727,0.49946590
209.62590127,0.49818410
209.68840527,0.49220250
209.75090927,0.48402360
209.81341326,0.48377940
209.87591726,0.47779780
209.93842126,0.46955780
210.00092526,0.45808280
210.06342925,0.45484790
210.12593325,0.44862210
210.18843725,0.44019900
210.25094125,0.43348490
210.31344524,0.42426830
210.37594924,0.42054510
210.43845324,0.40980260
210.50095724,0.40583520
210.56346123,0.39661850
210.62596523,0.39759510
210.68846923,0.38618120
210.75097323,0.38044380
210.81347722,0.36323130
210.87598122,0.35950800
210.93848522,0.35102390
211.00098922,0.33533740
211.06349321,0.32789090
211.12599721,0.32215340
211.18850121,0.30945770
211.25100521,0.30396430
211.31350920,0.29554130
211.37601320,0.29004790
211.43851720,0.28009890
211.50102120,0.26416820
211.56352519,0.26636560
211.62602919,0.24897000
211.68853319,0.24146240
211.75103719,0.22431100
211.81354118,0.22656940
211.87604518,0.20984530
211.93854918,0.19965210
212.00105318,0.18597980
212.06355717,0.17651910
212.12606117,0.16925570
212.18856517,0.15460680
212.25106917,0.15259250
212.31357316,0.13617360
212.37607716,0.12744530
212.43858116,0.10577720
212.50108516,0.10357980
212.56358915,0.08838160
212.62609315,0.07763909
212.68859715,0.07019258
212.75110115,0.05725272
212.81360514,0.04925688
212.87610914,0.03704947
212.93861314,0.02661214
213.00111714,0.01318400
213.06362113,-0.00299081
213.12612513,-0.01397748
213.18862913,-0.02520829
213.25113313,-0.04138310
213.31363712,-0.05108798
213.37614112,-0.05829035
213.43864512,-0.06872769
213.50114912,-0.08893093
213.56365311,-0.09515671
213.62615711,-0.11334570
213.68866111,-0.12878810
213.75116511,-0.14020200
213.81366910,-0.15118870
213.87617310,-0.15985590
