Time,Channel A,Frequency,Triangular,Rectangular,Channel A
(ms),(V),(kHz),(dBV),(dBV),(dBV)
,,,,,
-4.82730577,0.4157842,20.82945694,-98.13268,-84.98519,-100.4054
-4.82680177,-0.2903531,20.89000769,-99.22034,-91.6694,-104.9355
-4.82629777,-0.4093448,20.95055843,-103.3723,-85.03278,-96.9066
-4.82579377,0.3020417,21.01110918,-94.2308,-106.401,-92.74887
-4.82528977,0.4028443,21.07165993,-93.70866,-92.8391,-91.19189
-4.82478577,-0.3089083,21.13221067,-94.38332,-86.3486,-90.83521
-4.82428177,-0.3919187,21.19276142,-94.83163,-99.11111,-91.34081
-4.82377777,0.3219398,21.25331217,-98.0452,-85.76992,-92.49081
-4.82327377,0.3848994,21.31386292,-102.8805,-90.74631,-94.21503
-4.82276977,-0.3291726,21.37441366,-104.6853,-90.73225,-96.9965
-4.82226577,-0.3749809,21.43496441,-104.7875,-85.19886,-100.7704
-4.82176177,0.3399762,21.49551516,-106.2805,-111.5867,-104.4897
-4.82125777,0.367626,21.5560659,-105.388,-85.87904,-105.309
-4.82075377,-0.3493454,21.61661665,-107.4563,-89.45802,-103.4147
-4.82024977,-0.358684,21.6771674,-111.3856,-90.6639,-101.4385
-4.81974577,0.3577685,21.73771814,-112.8129,-84.89094,-100.271
-4.81924177,0.3512986,21.79826889,-108.3533,-112.7839,-99.93016
-4.81873777,-0.3649098,21.85881964,-99.10043,-84.35078,-100.5203
-4.81823377,-0.3417463,21.91937038,-98.82615,-92.71138,-101.0468
-4.81772977,0.3753166,21.97992113,-101.2383,-90.59761,-98.91956
